,Ross_gyre,Weddell_gyre,ACC_transport
1958-01-01,20.829307350943388,49.317224319999994,120.59771728515625
1958-02-01,22.349821283018915,40.51230688,117.93094635009766
1958-03-01,17.612921418867916,55.63697151999998,127.58426666259766
1958-04-01,12.320808754716962,56.26224095999998,122.83018493652344
1958-05-01,20.171911426415114,76.430936,117.80990600585938
1958-06-01,25.42697002264151,77.91282880000001,125.19674682617188
1958-07-01,18.4014040754717,66.80015167999997,113.88148498535156
1958-08-01,36.91394940377354,69.59444128,130.9368133544922
1958-09-01,38.646976181132075,71.82734880000001,131.51011657714844
1958-10-01,29.96170886037737,61.544925119999974,132.15835571289062
1958-11-01,31.51302104150945,59.052866879999996,128.44625854492188
1958-12-01,36.25131103396225,62.04387359999999,132.41183471679688
1959-01-01,27.060089418867946,50.53508831999999,125.83456420898438
1959-02-01,39.41749826415098,53.27340416000003,135.85577392578125
1959-03-01,35.28438961509439,50.81935456,127.71732330322266
1959-04-01,24.064536573584885,56.05061184,122.91942596435547
1959-05-01,13.98291290566039,58.94957375999999,122.72196960449219
1959-06-01,10.34042197735849,53.88646752000001,108.878662109375
1959-07-01,31.686500407547175,73.69980704000002,122.45440673828125
1959-08-01,43.21410747169811,77.31743680000001,129.89126586914062
1959-09-01,35.093928754716934,67.81559936000001,122.6152114868164
1959-10-01,27.097022249056607,60.62537119999999,119.8308334350586
1959-11-01,24.039748528301864,53.55969152000001,127.40930938720703
1959-12-01,21.483241720754744,47.761901119999976,123.85591888427734
1960-01-01,14.245335607547133,42.856554880000026,120.56385803222656
1960-02-01,11.466922203773558,44.67703744,114.26939392089844
1960-03-01,42.082340407547115,58.36959647999999,134.5313720703125
1960-04-01,46.69435888301888,65.75911776,127.36770629882812
1960-05-01,38.826545207547156,74.10080607999998,119.83770751953125
1960-06-01,42.07692359245282,79.14122272000003,125.24114227294922
1960-07-01,20.068313056603788,51.933518400000004,110.3702621459961
1960-08-01,35.90855601509434,66.4086416,129.1767578125
1960-09-01,33.80248507169813,59.09664959999999,126.2850112915039
1960-10-01,26.791006128301888,55.384335040000025,117.71163177490234
1960-11-01,35.89361527547172,57.796839680000005,126.45825958251953
1960-12-01,34.59037989433965,57.689234879999994,131.6240234375
1961-01-01,21.67875302641511,37.30475424000001,118.2377700805664
1961-02-01,27.69015830943397,46.33110687999999,125.50041961669922
1961-03-01,33.40919009811321,59.12922495999998,133.18798828125
1961-04-01,24.07141621132076,53.97168863999998,119.93927764892578
1961-05-01,26.397166550943403,61.18256671999997,117.64330291748047
1961-06-01,23.83374001509434,68.43219935999998,117.08775329589844
1961-07-01,19.564030249056636,76.21216607999999,120.73857879638672
1961-08-01,29.593044709433972,74.08237503999999,121.35078430175781
1961-09-01,23.24921014339623,70.70972704000002,123.76689147949219
1961-10-01,35.399768573584886,68.0276512,132.80406188964844
1961-11-01,26.428762264150947,57.84590495999998,126.5117416381836
1961-12-01,23.580135305660367,50.23957568000001,128.83956909179688
1962-01-01,9.603100196226418,39.308640640000014,119.16272735595703
1962-02-01,18.963868679245262,44.98484095999998,120.49008178710938
1962-03-01,18.601264241509437,49.59073504000002,121.84480285644531
1962-04-01,35.615837645283044,53.695291199999986,128.70416259765625
1962-05-01,24.239298596226394,57.23990784,119.79898834228516
1962-06-01,17.57121587924528,49.92687456,107.5221939086914
1962-07-01,22.804359667924555,58.7666176,119.61241149902344
1962-08-01,30.851673056603758,66.20003519999999,122.82573699951172
1962-09-01,39.1858279245283,69.71932064000002,135.75094604492188
1962-10-01,42.32602560000005,66.0108464,133.18202209472656
1962-11-01,29.984197494339615,53.66266047999999,125.87306213378906
1962-12-01,18.697187200000016,40.39680031999999,118.54888153076172
1963-01-01,14.46484184150943,38.17455104000002,116.83306121826172
1963-02-01,24.110828860377342,37.64542528,127.42205047607422
1963-03-01,18.86778487547174,44.46943040000001,127.76001739501953
1963-04-01,13.435430822641521,55.46534304000002,123.59902954101562
1963-05-01,32.16397421886793,65.77109216,123.77003479003906
1963-06-01,24.85181095849061,67.05932895999997,120.18444061279297
1963-07-01,19.87157778113207,59.64072544,115.44237518310547
1963-08-01,30.280662158490568,63.81678528000003,122.78012084960938
1963-09-01,28.29166194716981,65.46507775999999,130.9619903564453
1963-10-01,33.70260425660378,62.28585856,133.9397430419922
1963-11-01,24.95913002264151,55.47023840000001,126.11229705810547
1963-12-01,18.771720633962275,45.09059263999998,122.81362915039062
1964-01-01,16.057370264150947,42.07768895999998,120.49868774414062
1964-02-01,22.27526490566039,42.057112960000005,123.13720703125
1964-03-01,22.56271595471698,40.66359616,118.8996353149414
1964-04-01,19.75982605283019,46.58589375999999,116.93263244628906
1964-05-01,32.750597494339644,58.82946656,124.6521987915039
1964-06-01,40.5135045433962,62.30411456,125.49320220947266
1964-07-01,43.69668944905663,58.73323328000003,127.726318359375
1964-08-01,27.604572437735825,66.17282592,121.34420013427734
1964-09-01,35.371194626415104,66.63564607999999,125.18871307373047
1964-10-01,32.76857424905658,67.43275168000001,130.47840881347656
1964-11-01,26.82381784150943,55.222046719999966,127.5112075805664
1964-12-01,31.3671640754717,54.07525823999998,126.3298568725586
1965-01-01,19.790285464150937,37.48443744,123.8789291381836
1965-02-01,19.716529690566034,46.22435424000001,120.73155212402344
1965-03-01,18.729674566037716,48.46703456,118.34883117675781
1965-04-01,29.473226324528305,53.057234560000005,126.79903411865234
1965-05-01,36.64474704905662,60.82232704000002,122.0822982788086
1965-06-01,19.643717494339644,72.03746912000001,120.4552993774414
1965-07-01,17.93990707924527,65.43569952000001,113.38148498535156
