Date,Ross_gyre,Weddell_gyre,ACC_transport,AABW_export,AABW_overturning,AABW_volume,AABW_temperature,AABW_salinity,HSSW_Ross_volume,HSSW_Ross_temperature,HSSW_Ross_salinity,HSSW_Weddell_volume,HSSW_Weddell_temperature,HSSW_Weddell_salinity
1963-12-01,24.446797727272333,50.50970383513375,124.57371371580298,14.461625812253677,19.912785622598733,78342782.35020113,0.08720440417528152,34.684566497802734,22.01175237754206,-1.576340913772583,34.48893737792969,0.0,,
1964-01-01,24.542014397935645,50.271999158683464,122.71132878084545,13.691481558621481,83.44864448641809,78364977.27381094,0.08745155483484268,34.68453598022461,0.0,,,0.0,,
1964-02-01,31.954783042958976,51.46623242106791,125.36578416620313,6.621121674589013,73.27158314634582,78361463.00054447,0.08725482225418091,34.68450164794922,0.0,,,0.0,,
1964-03-01,34.56158829235593,52.415067984050005,120.7755580506415,7.523194146747988,87.11888210749042,78315542.86151893,0.08724010735750198,34.684471130371094,0.0,,,0.0,,
1964-04-01,33.619887248649654,60.035924054502665,119.1602813226186,15.28593523561942,61.23010971443143,78292821.6952685,0.08717737346887589,34.68447494506836,0.0,,,0.0,,
1964-05-01,38.208328916089805,64.01707347610737,126.92659845443555,10.899335013100215,42.98211064109207,78280728.81941853,0.08734054863452911,34.68449783325195,0.0,,,0.0,,
1964-06-01,43.488362965332,65.11426225448243,127.49231744853624,11.39610398031281,24.216233763486624,78252352.37912999,0.08755278587341309,34.68452453613281,0.0,,,0.0,,
1964-07-01,45.42320636100847,60.436396581139896,128.95382263240418,13.402167844032595,29.085296175784396,78242920.1251198,0.08741680532693863,34.68456268310547,0.0,,,0.0,,
1964-08-01,36.1895385313512,74.51373413192962,122.99009381081304,13.020708848868638,34.75846276285265,78200570.81727214,0.08438920974731445,34.684452056884766,0.0,,,0.0,,
1964-09-01,38.82405572355391,69.79382996310665,126.71568313293999,10.69757084671162,30.987221688041018,78195345.30800045,0.08322566002607346,34.68439865112305,0.0,,,0.0,,
1964-10-01,32.83311890405418,67.19027392603526,132.42471256766754,12.632703408500888,15.853192142715008,78153029.95706609,0.08658818900585175,34.68453598022461,0.0,,,0.0,,
1964-11-01,28.79767244019307,56.951293388618005,129.2691595007618,16.57297599391978,24.24258970262048,78113613.58238009,0.08817602694034576,34.684593200683594,0.0,,,0.0,,
1964-12-01,33.07858960291749,55.545331783332166,128.29071610970584,12.783102362739301,74.02055202496447,78091377.95521404,0.08843298256397247,34.684566497802734,0.0,,,0.0,,
1965-01-01,27.592137467499807,45.10103213788633,126.38572012414029,10.453736900948524,40.90884575331614,78045736.20011649,0.08820143342018127,34.68452453613281,0.0,,,0.0,,
1965-02-01,29.604456546553582,55.8012129534927,122.39979509013682,10.241259689106089,52.022093183347764,78048923.79917906,0.08805057406425476,34.684486389160156,0.0,,,0.0,,
1965-03-01,31.270628357695834,60.66943673878093,119.98102345650967,9.549306349655643,101.33715371092785,78093211.63672389,0.0881059467792511,34.68446350097656,0.0,,,0.0,,
1965-04-01,33.157207329000485,56.56689181925787,129.12262476505887,12.710159868451274,89.32000067333797,78037925.96335718,0.08824001997709274,34.68446731567383,0.0,,,0.0,,
1965-05-01,42.39638659319684,66.29328396528739,124.15036067031262,13.03985289439845,63.18911452629108,78018902.798863,0.08847999572753906,34.684486389160156,0.0,,,0.0,,
1965-06-01,27.702293269357725,79.77403834373257,121.90493509765139,12.97135545241929,44.67671625879642,78017373.66188498,0.08898015320301056,34.68450927734375,0.0,,,0.0,,
1965-07-01,35.41898695931189,82.59648457859069,115.00678218013138,15.172650222008354,36.371269367349164,78032232.61327337,0.08939746022224426,34.68456268310547,0.0,,,0.0,,
1965-08-01,44.645489312023166,80.47254682808091,116.5379898554335,12.881105130669471,23.624555547835165,78036092.85973044,0.08876985311508179,34.6845588684082,0.0,,,0.0,,
1965-09-01,31.089037083205596,73.05626345551835,121.05628457507312,11.120134631944154,38.63127824262285,78044329.73535313,0.08654491603374481,34.6844596862793,0.0,,,0.0,,
1965-10-01,28.72169581512052,63.36916460235055,121.2944725103248,17.795260038842653,29.861586371268682,78034466.38491139,0.08904972672462463,34.68456268310547,0.0,,,0.0,,
1965-11-01,34.30797470307431,60.03469009244487,128.78330609841848,12.399216360251522,27.722992259777293,78002364.68960637,0.08988430351018906,34.6845817565918,0.0,,,0.0,,
1965-12-01,32.92626925811106,46.70877415436879,123.20374487858311,11.249614732472656,20.068869857801914,77954903.92020157,0.09004363417625427,34.68455123901367,0.0,,,0.0,,
1966-01-01,21.967196030774637,43.15795791209772,123.91542135378201,12.943343594972012,15.013937647920672,77946813.95774205,0.08981800079345703,34.68451690673828,0.0,,,0.0,,
1966-02-01,30.072489480217246,50.38491813687052,122.43779778381187,11.02393020124279,59.166008373511815,78000504.75255379,0.08981620520353317,34.684486389160156,0.0,,,0.0,,
1966-03-01,35.257555238163384,56.28604021257424,118.62073154196705,14.18763023829122,37.27890045999369,77986350.03632173,0.0895766168832779,34.68445587158203,0.0,,,0.0,,
1966-04-01,33.16323810183155,72.80162680031474,114.82072716874292,18.121870795449663,39.46749419823555,77947082.02535067,0.08953740447759628,34.68447494506836,0.0,,,0.0,,
1966-05-01,43.288401687932684,79.56721749514666,121.10104199625584,14.18240597023824,24.59920567645142,77903505.46882343,0.08961093425750732,34.68448257446289,0.0,,,0.0,,
1966-06-01,28.798244253022208,84.20729107868104,116.54213813522574,14.02387463930807,27.419459805605282,77902937.45725425,0.08974137902259827,34.68450164794922,0.0,,,0.0,,
1966-07-01,43.27176112584548,77.4140347371724,116.5297189311369,11.397698458637564,18.132018978183307,77934077.18444635,0.09030219912528992,34.68455505371094,0.0,,,0.0,,
1966-08-01,43.24589128510113,65.34662589099658,118.55263202467272,11.657891601716669,15.31373382947918,77936049.11265104,0.09077859669923782,34.68458938598633,0.0,,,0.0,,
1966-09-01,38.16490771504377,58.86999696808237,130.40149845811573,9.033215918069706,32.254951998288426,77926000.32519995,0.09090271592140198,34.68458557128906,0.0,,,0.0,,
1966-10-01,33.12360029689211,53.55212464504701,140.00959857336915,9.717098226792027,39.779876296706114,77913942.63532914,0.09049840271472931,34.68453598022461,0.0,,,0.0,,
1966-11-01,28.767454705852582,57.94877914252031,129.13211994144976,13.778609308290271,40.12620956421656,77897603.9316305,0.09104929864406586,34.684539794921875,0.0,,,0.0,,
1966-12-01,36.590361566572014,49.52575790413679,123.8100399033438,14.229721965055852,41.93801028164516,77887308.87154748,0.09092726558446884,34.684486389160156,0.0,,,0.0,,
1967-01-01,34.96484699585785,46.435396271980466,126.27621665675049,8.229388938501563,32.34550144791482,77897427.1796097,0.09079116582870483,34.68443298339844,0.0,,,0.0,,
1967-02-01,31.413003991940112,47.39451932392344,125.50931602995902,8.173509334908191,33.68106266180143,77877797.59490915,0.09060010313987732,34.68437957763672,0.0,,,0.0,,
1967-03-01,35.40313039302243,54.68506848348953,130.06154813835172,13.750631558649308,29.610892875746995,77866641.53849183,0.09058983623981476,34.68434143066406,0.0,,,0.0,,
1967-04-01,39.54538040270852,61.02418405689828,126.0822770477266,16.87992338490946,16.87992338490946,77844690.55544266,0.09078969061374664,34.684349060058594,0.0,,,0.0,,
1967-05-01,33.351847998464315,78.56442554587431,110.84416874260114,14.679076444916534,22.953747876188345,77814475.88787845,0.09100767225027084,34.68436813354492,0.0,,,0.0,,
1967-06-01,32.06034757368423,81.1810714826951,115.87342322118862,16.716597312541587,20.4866804447501,77779337.21433137,0.09115125238895416,34.68438720703125,0.0,,,0.0,,
1967-07-01,38.30654736009489,71.663750217148,119.0185338975426,15.927030443058056,20.683685503501504,77825608.75959904,0.0917581170797348,34.68446350097656,0.0,,,0.0,,
1967-08-01,36.26678177026628,61.56643448734002,131.02580277567975,16.554576054062565,19.948156842394788,77814358.6670251,0.09135276079177856,34.6844482421875,0.0,,,0.0,,
1967-09-01,26.151633139031247,58.798619599634335,128.11735905992498,13.359041764616816,18.703214611821657,77801175.52655493,0.0884416252374649,34.68423080444336,0.0,,,0.0,,
1967-10-01,36.54978449063241,53.90836950540625,127.05109728394041,12.261991562815151,55.48970594422251,77796759.8962587,0.09168677031993866,34.68445587158203,0.0,,,0.0,,
1967-11-01,27.34708261987585,50.14378547904253,130.65403868181195,10.856653034390675,40.57850791432,77795527.73243487,0.09184042364358902,34.68443298339844,0.0,,,0.0,,
1967-12-01,27.615581498297004,51.754692317354035,121.89379424010073,9.40325018223171,27.037771862895045,77803816.75063506,0.09200306981801987,34.684391021728516,0.0,,,0.0,,
1968-01-01,23.960991957250148,47.57037520301612,122.33657477383016,9.779840998325122,16.750773076559586,77848222.10842253,0.0920543521642685,34.68436050415039,0.0,,,0.0,,
1968-02-01,28.84008111541866,42.87791362928018,125.6500469158039,10.006343763774334,22.556009927035202,77820787.15653296,0.09171749651432037,34.684303283691406,0.0,,,0.0,,
1968-03-01,30.54644347171515,51.4185700776954,121.74286815721385,10.118908177063373,20.322874361708212,77833742.59820296,0.09176437556743622,34.68426513671875,0.0,,,0.0,,
1968-04-01,50.295577831326085,64.20937171661168,126.9084014529124,13.197979066896451,17.198685468727927,77836654.32190539,0.09200559556484222,34.68429183959961,0.0,,,0.0,,
1968-05-01,38.935254731249124,62.08965837807974,128.14564373735425,13.46509386860051,21.068988027903867,77810768.89758338,0.09217818081378937,34.68429946899414,0.0,,,0.0,,
1968-06-01,43.602700461099296,67.37486755580092,127.95455880065566,11.543469031117882,16.61740924362744,77764668.3246964,0.09226135909557343,34.68430709838867,0.0,,,0.0,,
1968-07-01,43.24583225143914,68.434260778355,118.6367434243157,14.827791280061314,27.612902119237724,77774889.6863161,0.09018070250749588,34.684165954589844,0.0,,,0.0,,
1968-08-01,33.13104628967898,66.88976379407313,123.5855527899847,11.231189916102677,25.693947666331887,77792656.5130315,0.0904093086719513,34.68421936035156,0.0,,,0.0,,
1968-09-01,26.969969241907908,69.35528647080514,117.32763559825862,9.342230315663414,32.332206671742476,77781037.08340666,0.0931629091501236,34.684425354003906,0.0,,,0.0,,
1968-10-01,31.416039227122827,64.68769845032338,125.49187687675112,9.441605657339965,41.46605025258492,77735433.59587334,0.09314553439617157,34.684391021728516,0.0,,,0.0,,
1968-11-01,31.920627882557945,58.83015543451424,123.02222380594897,12.826861792426243,26.6576117277783,77719102.58956477,0.09308356791734695,34.6843376159668,0.0,,,0.0,,
1968-12-01,32.430203220395775,60.36641444070092,119.1669687767738,9.92419751893059,29.265641407368708,77736575.28925222,0.0931660607457161,34.684261322021484,0.0,,,0.0,,
1969-01-01,29.981153621480285,56.17811685882421,111.85505188859324,12.372988718602357,22.210946009277006,77735909.05682775,0.09298397600650787,34.684200286865234,0.0,,,0.0,,
1969-02-01,31.802403059801595,56.50508968063113,113.05556388187287,9.72497007030093,21.741471259157787,77745268.18310305,0.09292067587375641,34.68415451049805,0.0,,,0.0,,
1969-03-01,34.62604262005898,62.03538031200625,121.97946013927762,9.371285583301272,24.16579258957384,77697984.73554987,0.09273551404476166,34.684120178222656,0.0,,,0.0,,
1969-04-01,35.65750589335863,61.66332764862056,120.44345372562799,10.425467779405526,16.42660691612752,77677512.72356355,0.092669278383255,34.68412399291992,0.0,,,0.0,,
1969-05-01,41.69345696601282,68.12072298873704,117.6519321678479,12.192019076620973,18.68216813786462,77665823.32111296,0.0929071232676506,34.68412780761719,0.0,,,0.0,,
